Designator,Mid X,Mid Y,Layer,Rotation
C1,148.375280,-78.895500,top,0.000000
C2,148.883280,-84.483500,top,180.000000
C3,117.175000,-73.525000,top,0.000000
C4,156.500000,-90.000000,top,0.000000
C5,131.487280,-45.116000,top,0.000000
C7,127.931280,-45.116000,top,180.000000
C8,124.375280,-45.116000,top,0.000000
C9,120.000000,-47.000000,top,180.000000
C10,129.000000,-82.500000,top,90.000000
C11,163.500000,-37.000000,top,90.000000
C12,127.500000,-74.000000,top,90.000000
C13,165.000000,-30.500000,top,90.000000
C15,140.197280,-41.958000,top,0.000000
C16,148.084280,-40.434000,top,90.000000
C17,148.084280,-37.386000,top,90.000000
C18,137.416280,-40.368000,top,90.000000
C19,149.608280,-40.942000,top,-90.000000
C20,149.608280,-36.370000,top,-90.000000
C21,146.023280,-74.191000,top,180.000000
C22,140.736280,-81.103000,top,0.000000
C23,145.769280,-75.969000,top,180.000000
C24,140.416280,-82.993001,top,0.000000
C25,184.700000,-99.800000,top,-90.000000
D2,149.000000,-75.969000,top,90.000000
D3,156.426000,-34.000000,top,0.000000
D4,146.531280,-87.145000,top,-90.000000
D9,173.061280,-101.948000,top,0.000000
D10,173.061280,-104.988000,top,0.000000
D11,173.061280,-108.028000,top,0.000000
D12,173.000000,-99.000000,top,0.000000
D21,178.102000,-25.930000,top,-90.000000
IC2,127.251280,-41.560000,top,180.000000
J1,157.707280,-30.613000,top,90.000000
J2,127.864780,-99.353001,top,90.000000
J3,139.673280,-31.773000,top,180.000000
J4,138.557780,-99.353001,top,-90.000000
J5,116.000000,-89.960000,top,-90.000000
J6,170.610000,-51.330000,top,0.000000
J7,185.850000,-51.330000,top,180.000000
J10,114.625000,-53.230000,top,-90.000000
J11,114.875000,-60.460000,top,-90.000000
J12,124.135000,-53.230000,top,-90.000000
J13,123.875000,-60.460000,top,-90.000000
J14,133.635000,-53.230000,top,-90.000000
J15,150.087280,-98.907500,top,0.000000
J16,133.375000,-60.460000,top,-90.000000
J17,164.819280,-108.051000,top,180.000000
J18,143.260000,-53.230000,top,-90.000000
J19,143.000000,-60.460000,top,-90.000000
J20,164.819280,-98.873500,top,0.000000
J21,152.760000,-53.230000,top,-90.000000
J22,152.500000,-60.460000,top,-90.000000
J24,161.500000,-60.460000,top,-90.000000
J25,162.125000,-53.230000,top,-90.000000
Q1,159.000000,-37.000000,top,180.000000
R2,159.000000,-42.000000,top,0.000000
R3,149.071280,-72.413000,top,-90.000000
R4,160.490000,-34.000000,top,180.000000
R5,148.309280,-87.304500,top,-90.000000
R6,163.000000,-34.000000,top,180.000000
R9,177.471280,-101.453000,top,0.000000
R10,178.471280,-104.403000,top,0.000000
R11,177.471280,-107.353000,top,0.000000
R12,177.500000,-98.000000,top,0.000000
R22,120.000000,-39.000000,top,-90.000000
R23,122.000000,-39.000000,top,-90.000000
R39,148.471280,-95.103000,top,90.000000
R40,150.461280,-95.103000,top,90.000000
R41,146.961280,-106.093000,top,-90.000000
R42,144.971280,-106.093000,top,-90.000000
R43,163.510000,-95.093000,top,90.000000
R44,165.500000,-95.093000,top,90.000000
U1,183.486280,-91.928000,top,0.000000
U3,148.309280,-81.689500,top,-90.000000
U4,156.437280,-71.905000,top,90.000000
U11,142.496280,-38.077000,top,180.000000
U12,138.657280,-76.477000,top,-90.000000
U13,138.812279,-85.987001,top,180.000000
